Designator,Mid X,Mid Y,Layer,Rotation
C1,77.47,48.26,Top,0.0
C2,11.43,47.63,Top,90.0
C3,15.88,36.20,Top,90.0
C4,26.35,47.63,Top,270.0
C5,41.66,48.26,Top,270.0
C6,43.69,48.26,Top,90.0
C7,65.02,48.26,Top,270.0
C8,67.06,48.26,Top,90.0
C9,90.93,48.26,Top,90.0
C10,107.32,48.26,Top,270.0
C11,114.94,45.72,Top,90.0
C12,11.43,33.66,Top,270.0
C13, 8.26,41.27,Top,270.0
C14,20.57,33.66,Top,270.0
C15,41.02,33.02,Top,90.0
C16,43.18,33.02,Top,90.0
C17,102.87,44.45,Top,90.0
C18,67.06,33.02,Top,90.0
C19,93.73,33.02,Top,90.0
C20,100.97,28.58,Top,90.0
C21,57.79,27.30,Top,90.0
C22,83.57,33.02,Top,90.0
C23,88.90,25.40,Top,180.0
C24,75.56,15.24,Top,180.0
C25,88.27,12.07,Top,180.0
C26,82.55, 3.81,Top,90.0
C27,75.56, 3.81,Top,90.0
C28,105.41, 5.08,Top,90.0
C29,21.91,47.63,Top,90.0
C30,28.58,38.10,Top,90.0
C31,104.78,34.93,Top,270.0
C32,46.36, 1.91,Top,270.0
C33,43.82, 1.91,Top,270.0
C34,110.49,37.47,Top,180.0
C35,85.09,12.07,Top,180.0
C36,41.91, 9.53,Top,270.0
C37,52.07, 1.91,Top,90.0
D1,21.59,20.32,Top,180.0
IC1,48.90, 7.62,Top,0.0
IC2,43.18,40.64,Top,0.0
IC3,66.04,40.64,Top,0.0
IC4,88.90,40.64,Top,0.0
IC5,106.68,40.64,Top,0.0
LED1, 2.54,12.70,Top,0.0
LED2, 2.54, 8.26,Top,0.0
Q1,19.05,52.07,Top,270.0
Q2,19.05,27.94,Top,270.0
Q3,32.38,43.82,Top,270.0
Q4,32.38,37.47,Top,90.0
Q5,78.74, 8.26,Top,0.0
Q6,67.31, 8.89,Top,0.0
Q7,67.31, 3.18,Top,0.0
R1, 9.21,47.63,Top,90.0
R2,13.65,47.63,Top,270.0
R3,37.59,48.26,Top,270.0
R4,39.62,48.26,Top,270.0
R5,45.72,48.26,Top,270.0
R6,47.75,48.26,Top,270.0
R7,60.96,48.26,Top,270.0
R8,62.99,48.26,Top,270.0
R9,69.09,48.26,Top,270.0
R10,71.12,48.26,Top,270.0
R11,105.28,48.26,Top,90.0
R12,86.87,48.26,Top,90.0
R13,88.90,48.26,Top,270.0
R14,24.13,47.63,Top,90.0
R15, 9.21,33.66,Top,270.0
R16,13.65,33.66,Top,90.0
R17,22.73,33.66,Top,90.0
R18,24.89,33.66,Top,90.0
R19,27.05,33.66,Top,270.0
R20,29.21,33.66,Top,90.0
R21,36.96,33.02,Top,90.0
R22,38.99,33.02,Top,90.0
R23,45.21,33.02,Top,90.0
R24,47.24,33.02,Top,90.0
R25,60.96,33.02,Top,90.0
R26,62.99,33.02,Top,90.0
R27,69.09,33.02,Top,90.0
R28,71.12,33.02,Top,90.0
R29,85.60,33.02,Top,270.0
R30,87.63,33.02,Top,90.0
R31,89.66,33.02,Top,270.0
R32,91.69,33.02,Top,270.0
R34,110.49,14.73,Top,180.0
R35,12.07,12.70,Top,0.0
R36,12.07, 8.26,Top,0.0
R37,110.49,12.70,Top,180.0
R38,110.49,10.67,Top,180.0
R39,88.90, 3.18,Top,270.0
R40,15.88,20.32,Top,180.0
R41,102.23,34.93,Top,270.0
R42,53.98,13.97,Top,90.0
R43,57.15,13.97,Top,90.0
R44,62.23,13.97,Top,90.0
R45,64.77,13.97,Top,90.0
R46,22.23,13.97,Top,90.0
R47,24.77,13.97,Top,90.0
R48,37.47,13.97,Top,90.0
R49,40.01,13.97,Top,90.0
R50,43.18,13.97,Top,90.0
R51,48.26,13.97,Top,90.0
R52,50.80,13.97,Top,90.0
R53,64.77,10.79,Top,0.0
R54,64.77, 5.08,Top,0.0
R55, 5.71,40.01,Top,270.0
R56,45.72,13.97,Top,90.0
R57,59.69,13.97,Top,90.0
R58,67.31,13.97,Top,90.0
R59,34.93,13.97,Top,90.0
R60,32.38,13.97,Top,90.0
R61,29.85,13.97,Top,90.0
R62,27.30,13.97,Top,90.0
U1,12.07,40.64,Top,0.0
U2,24.77,40.64,Top,0.0
U3,74.93,19.05,Top,90.0
U4,88.27,19.05,Top,0.0
